column_value,column_name,value_count
LNP-encapsulated mRNA encoding S,Candidate Type,1
VLPS peptides/whole virus,Candidate Type,1
DNA plasmid vaccine + Adjuvant,Candidate Type,1
S subunit intranasal liposomal formulation with GLA/3M052 adjs.,Candidate Type,1
"2nd Gen E2b- Ad5 Spike, RBD, Nucleocapsid Subcutaneous&oral",Candidate Type,1
LNP-encapsulated mRNA encoding RBD,Candidate Type,1
adenovirus-based + HLA-matched peptides,Candidate Type,1
DNA Vaccine (GX-19),Candidate Type,1
ADDomerTM multiepitope display,Candidate Type,1
Virus-like particle-based Dendritic Cell(DC)- targeting vaccine,Candidate Type,1
Influenza vector expressing RBD,Candidate Type,1
Recombinant protein,Candidate Type,1
Adeno-associated virus vector (AAVCOVID),Candidate Type,1
"S-Protein (Subunit) + Adjuvant, E coli based Expression",Candidate Type,1
S protein (baculovirus production),Candidate Type,1
"Plasmid DNA, Needle-Free Delivery",Candidate Type,1
Ad26COVS1,Candidate Type,1
MsDNA vaccine,Candidate Type,1
Peptide + nove adjuvant,Candidate Type,1
Avian paramyxovirus vector (APMV),Candidate Type,1
Oral Salmonella enteritidis (3934Vac) based protein expression system of RBD,Candidate Type,1
"Recombinant protein, nanoparticles (based on S-protein and other epitopes)",Candidate Type,1
"CD8 T cell peptide targeting (S, M, N) and (NSPs) SARS-CoV-2 proteins",Candidate Type,1
mRNA in an intranasal delivery system,Candidate Type,1
TBD,Dose Count,145
2,Dose Count,26
1,Dose Count,4
3,Dose Count,1
1 or 2,Dose Count,1
2 or 3,Dose Count,1
TBD,Dose Timing,150
"0,28 days",Dose Timing,11
"0,21 days",Dose Timing,8
"0,14 days",Dose Timing,3
"0,14 or 0,21 days",Dose Timing,2
"0,28 or 0,28,56 days",Dose Timing,1
"0,56 days",Dose Timing,1
"0,14 or 0,28 days",Dose Timing,1
"0,28,56 days",Dose Timing,1
TBD,Route,144
IM,Route,32
ID,Route,2
IFV/COR/04,Phase 1 Desc,1
NCT04527575,Phase 1 Desc,1
NCT04453852,Phase 1 Desc,1
NCTO4283461 Interim Report,Phase 1 Desc,1
ISRCTN17072692,Phase 1 Desc,1
ChiCTR2000037518,Phase 1 Desc,1
NCTO4528641,Phase 1 Desc,1
NCT04436471 NCT04437875 Study Report,Phase 1 Desc,1
ChiCTR2000030906 Study Report,Phase 1 Desc,1
NCT04497298,Phase 1 Desc,1
NCT04412538,Phase 1 Desc,1
ACTRN12620000674932p,Phase 1 Desc,1
NCT04449276,Phase 1 Desc,1
ChiCTR2000034112,Phase 1 Desc,1
NCT04487210,Phase 1 Desc,1
NCTO4450004,Phase 1 Desc,1
NCT04405908,Phase 1 Desc,1
NCT04445194,Phase 1 Desc,1
NCT04473690,Phase 1/2 Desc,1
NCT04471519,Phase 1/2 Desc,1
NCT04383574 NCT04352608,Phase 1/2 Desc,1
2020-001038-36 ChiCTR2000034825 NCT04537949 Study Report,Phase 1/2 Desc,1
NCT04436276,Phase 1/2 Desc,1
PACTR202006922165132 2020-001072-15 Interim Report,Phase 1/2 Desc,1
NCT04470609,Phase 1/2 Desc,1
NCTO4445389,Phase 1/2 Desc,1
CTRI/2020/07/026352,Phase 1/2 Desc,1
ChiCTR2000031809 Interim Report,Phase 1/2 Desc,1
NCT04368988 Study Report,Phase 1/2 Desc,1
ChiCTR2000032459,Phase 1/2 Desc,1
NCT04447781 NCTO4336410,Phase 1/2 Desc,1
NCT04530357,Phase 1/2 Desc,1
NCT04480957,Phase 1/2 Desc,1
NCT04463472 NCTO4527081,Phase 1/2 Desc,1
NCTO4537208,Phase 1/2 Desc,1
NCT04533399 (phase 2b),Phase 2 Desc,1
NCT04405076,Phase 2 Desc,1
NCT04466085,Phase 2 Desc,1
NCT04515147,Phase 2 Desc,1
ChiCTR2000031781 Study Report,Phase 2 Desc,1
2020-001228-32,Phase 2 Desc,1
ChiCTR2000034780,Phase 3 Desc,2
NCT04456595 669/UN6.KEP/EC/2020,Phase 3 Desc,1
NCT04505722 (not yet recruiting),Phase 3 Desc,1
NCT04526990,Phase 3 Desc,1
NCT04470427,Phase 3 Desc,1
ISRCTN89951424 NCT04516746,Phase 3 Desc,1
NCT04530396,Phase 3 Desc,1
NCT04368728,Phase 3 Desc,1
Pre-Clinical,Clinical Phase,144
Phase 1,Clinical Phase,12
Phase 1/2,Clinical Phase,10
Phase 3,Clinical Phase,9
Phase 2,Clinical Phase,3
Pre-Clinical,Clinical Stage,144
Clinical,Clinical Stage,34
SARS-CoV2,Coronavirus Target,174
SARS-CoV2 and Sarbeco- Coronaviruses,Coronavirus Target,1
SARS-CoV1 SARS-CoV2,Coronavirus Target,1
Pan-Corona,Coronavirus Target,1
"SARS-CoV2, SARS-CoV, & MERS-CoV",Coronavirus Target,1
Influenza,Shared Platforms,6
MERS,Shared Platforms,4
SARS,Shared Platforms,2
Multiple candidates,Shared Platforms,1
"HAV, InfA, ZIKV, FMD, SIV, RSV, DENV",Shared Platforms,1
malaria,Shared Platforms,1
"flu, Chik, Zika, EBOV, LASV, HIV/SIV,Can V,Cancer",Shared Platforms,1
HPV/,Shared Platforms,1
"InfA, CHIKV, LASV, NORV; EBOV, RVF, HBV, VEE",Shared Platforms,1
"rubella, rotavirus",Shared Platforms,1
"Smallpox, monkeypox",Shared Platforms,1
"HIV, MERS",Shared Platforms,1
Hepatitis C,Shared Platforms,1
"Zika, H7N9, CHIKV",Shared Platforms,1
Many,Shared Platforms,1
"Ebola, Marburg, HIV, Zika, Influenza, HPV therapeutic vaccine, BreastCA vaccine",Shared Platforms,1
"Zika, VZV, HSV-2 and Norovirus",Shared Platforms,1
"HeV, NiV, EBOV, LASSA, CCHFV, MERS",Shared Platforms,1
"JE, Zika",Shared Platforms,1
"NSCLC, HIV, malaria, Zika",Shared Platforms,1
"Influenza, HIV, SARS-CoV",Shared Platforms,1
H7N9,Shared Platforms,1
"Ebola, Marburg, Lassa",Shared Platforms,1
"LASV, EBOV, MARV, HIV",Shared Platforms,1
"Flu A, plague",Shared Platforms,1
"CMV, GBM, Zika",Shared Platforms,1
