source,column_name,column_value,value_count
Vaccines,Developer,Univ. of Pittsburgh,1
Vaccines,Developer,Israel Institute for Biological Research/Weizmann Institute of Science,1
Vaccines,Developer,BioNTech/Fosun Pharma/Pfizer,1
Vaccines,Developer,Takis/Applied DNA Sciences/Evvivax,1
Vaccines,Developer,CanSino Biologics/Precision NanoSystems,1
Vaccines,Developer,IAVI/Merck,1
Vaccines,Developer,Imperial College London,1
Vaccines,Developer,Yisheng Biopharma,1
Vaccines,Developer,"Immunomic Therapeutics, Inc./EpiVax, Inc./Pharmalet",1
Vaccines,Developer,eTheRNA,1
Vaccines,Developer,Entos Pharmaceuticals,1
Vaccines,Developer,Gamaleya Research Institute,1
Vaccines,Developer,University of Tokyo/Daiichi-Sankyo,1
Vaccines,Developer,BioNet Asia,1
Vaccines,Developer,Scancell/University of Nottingham/Nottinghar Trent University,1
Vaccines,Developer,AdaptVac (PREVENT-nCoV consortium),1
Vaccines,Developer,University of Queensland/CSL/Seqirus,1
Vaccines,Developer,acc/ Wageninger Bioveterinary Research/Utrecht Univ.,1
Vaccines,Developer,AnyGo Technology,1
Vaccines,Developer,"ImmunityBio, Inc. & Nantkwest, Inc.",1
Vaccines,Developer,Saiba GmbH,1
Vaccines,Developer,Arcturus/Duke-NUS,1
Vaccines,Developer,ExpreS2ion,1
Vaccines,Developer,Aurobindo,1
Vaccines,Developer,Novavax,1
Vaccines,Developer,"Beijing Minhai Biotechnology Co., Ltd.",1
Vaccines,Developer,"MOGAM Institute for Biomedical Research, GC Pharma",1
Vaccines,Developer,University of Western Ontario,1
Vaccines,Developer,Genexine Consortium,1
Vaccines,Developer,Vaxi Bio,1
Vaccines,Developer,EpiVax/Univ. of Georgia,1
Vaccines,Developer,Osaka University/ AnGes/ Takara Bio,1
Vaccines,Developer,ARTES Biotechnology,1
Vaccines,Developer,"The Lancaster University, UK",1
Vaccines,Developer,Indian Immunologicals Ltd/Griffith University,1
Vaccines,Developer,Generex/EpiVax,1
Vaccines,Developer,"Applied Biotechnology Institute, Inc.",1
Vaccines,Developer,Quadram Institute Biosciences,1
Vaccines,Developer,ID Pharma,1
Vaccines,Developer,Ege University,1
Vaccines,Developer,Lomonosov Moscow State University,1
Vaccines,Developer,Bogazici University,1
Vaccines,Developer,"West China Hospital, Sichuan University",1
Vaccines,Developer,Symvivo,1
Vaccines,Developer,ReiThera/LEUKOCARE/Univercells,1
Vaccines,Developer,"Chulalongkorn University/GPO, Thailand",1
Vaccines,Developer,Baylor College of Medicine,1
Vaccines,Developer,Bharat Biotech,1
Vaccines,Developer,Beijing Institute of Biological Products/Sinopharm,1
Vaccines,Developer,Translate Bio/Sanofi Pasteur,1
Vaccines,Developer,University of Alberta,1
Vaccines,Developer,Middle East Technical University,1
Vaccines,Developer,China CDC/Tongji University/Stermina,1
Vaccines,Developer,Institute Pasteur/Themis/Univ. of Pittsburg CVR/Merck Sharp & Dohme,1
Vaccines,Developer,"RNAimmune, Inc.",1
Vaccines,Developer,Wuhan Institute of Biological Products/Sinopharm,1
Vaccines,Developer,MIGAL Galilee Research Institute,1
Vaccines,Developer,Heat Biologics/Univ. Of Miami,1
Vaccines,Developer,Curevac,1
Vaccines,Developer,ImmunoPrecise/LiteVax BV,1
Vaccines,Platform,Protein Subunit,61
Vaccines,Platform,Non-Replicating Viral Vector,24
Vaccines,Platform,RNA,23
Vaccines,Platform,Replicating Viral Vector,19
Vaccines,Platform,DNA,16
Vaccines,Platform,Inactivated,15
Vaccines,Platform,VLP,13
Vaccines,Platform,Live Attenuated Virus,3
Vaccines,Platform,Replicating Bacteria Vector,1
Vaccines,Candidate Type,Inactivated,9
Vaccines,Candidate Type,mRNA,8
Vaccines,Candidate Type,DNA vaccine,3
Vaccines,Candidate Type,VSV-S,3
Vaccines,Candidate Type,Codon deoptimized live attenuated vaccines,3
Vaccines,Candidate Type,VLP,3
Vaccines,Candidate Type,Peptide,3
Vaccines,Candidate Type,LNP-mRNA,3
Vaccines,Candidate Type,Protein Subunit,3
Vaccines,Candidate Type,DNA with electroporation,2
Vaccines,Candidate Type,LNP-encapsulated mRNA,2
Vaccines,Candidate Type,Recombinant S protein,2
Vaccines,Candidate Type,RBD-based,2
Vaccines,Candidate Type,OMV-based vaccine,2
Vaccines,Candidate Type,S protein,2
Vaccines,Candidate Type,Inactivated + CpG 1018,2
Vaccines,Candidate Type,Measles Vector,2
Vaccines,Candidate Type,Full length recombinant SARS CoV-2 glycoprotein nanoparticle vaccine adjuvanted with Matrix M,1
Vaccines,Candidate Type,Inactivated + alum,1
Vaccines,Candidate Type,bacTRL-Spike,1
Vaccines,Candidate Type,Subunit vaccine,1
Vaccines,Candidate Type,"S-Protein (Subunit) Adjuvant, E coli based Expression",1
Vaccines,Candidate Type,3 LNP-mRNAs,1
Vaccines,Candidate Type,mRNA in an intranasal delivery system,1
Vaccines,Candidate Type,S-2P protein + CpG 1018,1
Vaccines,Candidate Type,DNA plasmid vaccine + Adjuvant,1
Vaccines,Candidate Type,S protein (baculovirus production),1
Vaccines,Candidate Type,microneedle arrays S1 subunit,1
Vaccines,Candidate Type,VLPS peptides/whole virus,1
Vaccines,Candidate Type,VSV vector,1
Vaccines,Candidate Type,YF17D Vector,1
Vaccines,Candidate Type,"DNA, engineered vaccine inserts compatible with multiple delivery systems",1
Vaccines,Candidate Type,Replicating VSV vector-based DC-targeting,1
Vaccines,Candidate Type,VLP + Adjuvant,1
Vaccines,Candidate Type,Unknown,1
Vaccines,Candidate Type,Whole-Virion Inactivated,1
Vaccines,Candidate Type,M2-deficient single replication (M2SR) influenza vector,1
Vaccines,Candidate Type,Adeno5-based,1
Vaccines,Candidate Type,S1 or RBD protein,1
Vaccines,Candidate Type,COVID-19 XWG-03 truncated S (spike) proteins,1
Vaccines,Candidate Type,Molecular clamp stabilized Spike protein with MF59 adjuvant,1
Vaccines,Candidate Type,structurally modified spherical particles of the tobacco mosaic virus (TMV),1
Vaccines,Candidate Type,Influenza A H1N1 vector,1
Vaccines,Candidate Type,parainfluenza virus 5 (PIV5)-based vaccine expressing the spike protein,1
Vaccines,Candidate Type,TBD,1
Vaccines,Candidate Type,Newcastle disease virus vector (NDV-SARS- CoV-2/Spike),1
Vaccines,Candidate Type,MsDNA vaccine,1
Vaccines,Candidate Type,Live vira vectored vaccine based on attenuated influenza virus backbone (intranasal),1
Vaccines,Candidate Type,DNA plasmid vaccine,1
Vaccines,Candidate Type,Liposome-encapsulated mRNA,1
Vaccines,Candidate Type,Avian paramyxovirus vector (APMV),1
Vaccines,Candidate Type,Plant-based subunit (RBD-Fc + Adjuvant),1
Vaccines,Candidate Type,MVA-S,1
Vaccines,Candidate Type,"Recombinant protein, nanoparticles (based on s-protein and other epitopes)",1
Vaccines,Candidate Type,Outer Membrane Vesicle(OMV)-peptide,1
Vaccines,Candidate Type,Nanoparticle vaccine,1
Vaccines,Candidate Type,Inactivated whole virus,1
Vaccines,Candidate Type,Replication defective Simian Adenovirus (GRAd) encoding S,1
Vaccines,Candidate Type,RBD protein (baculovirus production) + FAR- Squalene adjuvant,1
Vaccines,Candidate Type,ADDomerTM multiepitope display,1
Vaccines,Candidate Type,Plant-derived VLP adjuvanted with GSK or Dynavax adjs.,1
Vaccines,Candidate Type,Horsepox vector expressing S protein,1
Vaccines,Candidate Type,Native like Trimeric subunit Spike Protein vaccine,1
Vaccines,Candidate Type,"2nd Gen E2b- Ad5 Spike, RBD, Nucleocapsid Subcutaneous&ora",1
Vaccines,Candidate Type,Recombinant spike protein with AdvaxM adjuvant,1
Vaccines,Candidate Type,S protein +Adjuvant,1
Vaccines,Candidate Type,S subunit intranasal liposomal formulation with GLA/3M052 adjs.,1
Vaccines,Candidate Type,Self-amplifying RNA,1
Vaccines,Candidate Type,ChAdox1-S,1
Vaccines,Candidate Type,MVA encoded VLP,1
Vaccines,Candidate Type,gp-96 backbone,1
Vaccines,Candidate Type,"Virus-like particle, based on RBD displayed on virus-like particles",1
Vaccines,Candidate Type,Dendritic cell-based vaccine,1
Vaccines,Candidate Type,RBD + Adjuvant,1
Vaccines,Candidate Type,eV/LP,1
Vaccines,Candidate Type,Recombinant S protein in IC-BEVS,1
Vaccines,Candidate Type,"Recombinant vaccine based on Influenza A virus, for the prevention of COVID-19 (intranasal)",1
Vaccines,Candidate Type,li-Key peptide,1
Vaccines,Candidate Type,DNA plasmid vaccine with electroporation,1
Vaccines,Candidate Type,Adeno-based (rAd26-S+rAd5-S),1
Vaccines,Candidate Type,"Virus-like particles, lentivirus and baculovirus vehicles",1
Vaccines,Candidate Type,Spike-based,1
Vaccines,Candidate Type,s protein,1
Vaccines,Candidate Type,DNA,1
Vaccines,Candidate Type,LNP-encapsulated mRNA encoding RBD,1
Vaccines,Candidate Type,Recombinant S1-Fc fusion protein,1
Vaccines,Candidate Type,Synthetic Long Peptide Vaccine candidate for S and M proteins,1
Vaccines,Candidate Type,Outer Membrane Vesicle (OMV)-subunit,1
Vaccines,Candidate Type,Adenovirus-based,1
Vaccines,Candidate Type,Adeno-associated virus vector (AAVCOVID),1
Vaccines,Candidate Type,RBD (baculovirus production expressed in Sf9 cells),1
Vaccines,Candidate Type,DNA plasmid vaccine RBD&N,1
Vaccines,Candidate Type,Measles-vector based,1
Vaccines,Candidate Type,MVA-S encoded,1
Vaccines,Candidate Type,Sendai virus vector,1
Vaccines,Candidate Type,Peptides derived from Spike protein,1
Vaccines,Candidate Type,"Subunit protein, plant produced",1
Vaccines,Candidate Type,VLP-recombinant protein + Adjuvant,1
Vaccines,Candidate Type,Ora Ad5 S,1
Vaccines,Candidate Type,S protein integrated in HIV VLPS,1
Vaccines,Candidate Type,Inactivated Flu-based SARS-CoV2 vaccine Adjuvant,1
Vaccines,Candidate Type,Peptide + nove adjuvant,1
Vaccines,Candidate Type,Several mRNA candidates,1
Vaccines,Candidate Type,Ad26COVS1,1
Vaccines,Candidate Type,adenovirus-based NasoVAX expressing SARS2-CoV spike protein,1
Vaccines,Candidate Type,Peptide antigens formulated in LNP,1
Vaccines,Candidate Type,adenovirus-based + HLA-matched peptides,1
Vaccines,Candidate Type,"DNA plasmid vaccine S,S1,S2,RBD &N",1
Vaccines,Candidate Type,RBD protein fused with Fc of IgG + Adj.,1
Vaccines,Candidate Type,Adjuvanted protein subunit (RBD),1
Vaccines,Candidate Type,RBD-protein,1
Vaccines,Candidate Type,"Protein Subunit S,N,M&S1 protein",1
Vaccines,Candidate Type,"Measles Virus (S, N targets)",1
Vaccines,Candidate Type,LNP-encapsulated mRNA cocktail encoding VLP,1
Vaccines,Candidate Type,LNP-encapsulated mRNA encoding S,1
Vaccines,Candidate Type,Adenovirus Type 5 Vector,1
Vaccines,Candidate Type,Oral Vaccine platform,1
Vaccines,Candidate Type,"Orally delivered, heat stable subunit",1
Vaccines,Candidate Type,Ad5 S (GREVAXTM platform),1
Vaccines,Candidate Type,Replicating Defective SARS-CoV-2 derived RNAs,1
Vaccines,Candidate Type,Protein Subunit EPV-CoV-19,1
Vaccines,Candidate Type,Capsid-like Particle,1
Vaccines,Candidate Type,"Plasmid DNA, Needle-Free Delivery",1
Vaccines,Candidate Type,Recombinant deactivated rabies virus containing S1,1
Vaccines,Candidate Type,Attenuated Influenza expressing an antigenic portion of the Spike protein,1
Vaccines,Candidate Type,Adjuvanted recombinant protein (RBD-Dimer),1
Vaccines,Candidate Type,DNA Vaccine (GX-19),1
Vaccines,Candidate Type,Enveloped Virus-Like Particle (eV/LP),1
Vaccines,Candidate Type,Recombinant protein,1
Vaccines,Candidate Type,Oral Salmonella enteritidis (3934Vac) based protein expression system of RBD,1
Vaccines,Candidate Type,Oral E. coli-based protein expression system of S and N proteins,1
Vaccines,Candidate Type,Adjuvanted microsphere peptide,1
Vaccines,Candidate Type,Influenza vector expressing RBD,1
Vaccines,Candidate Type,Spike-based (epitope screening),1
Vaccines,Candidate Type,Drosophila S2 insect cell expression system VLPs,1
Vaccines,Candidate Type,LNP-nCoVsaRNA,1
Vaccines,Candidate Type,Replication-competent VSV chimeric virus technology (VSVAG) delivering the SARS-CoV- 2 Spike (S) glycoprotein.,1
Vaccines,Candidate Type,MVA expressing structural proteins,1
Vaccines,Dose Count,TBD,143
Vaccines,Dose Count,2,25
Vaccines,Dose Count,1,4
Vaccines,Dose Count,2 or 3,1
Vaccines,Dose Count,3,1
Vaccines,Dose Count,1 or 2,1
Vaccines,Dose Timing,TBD,148
Vaccines,Dose Timing,"0,28 days",11
Vaccines,Dose Timing,"0,21 days",7
Vaccines,Dose Timing,"0,14 days",3
Vaccines,Dose Timing,"0,14 or 0,21 days",2
Vaccines,Dose Timing,"0,28 or 0,28,56 days",1
Vaccines,Dose Timing,"0,28,56 days",1
Vaccines,Dose Timing,"0,14 or 0,28 days",1
Vaccines,Dose Timing,"0,56 days",1
Vaccines,Route,TBD,142
Vaccines,Route,IM,31
Vaccines,Route,ID,2
Vaccines,Phase 1 Desc,NCTO4449276,1
Vaccines,Phase 1 Desc,NCT04283461 Interim Report,1
Vaccines,Phase 1 Desc,NCT04412538,1
Vaccines,Phase 1 Desc,NCT04453852,1
Vaccines,Phase 1 Desc,NCT04527575,1
Vaccines,Phase 1 Desc,ChiCTR2000034112,1
Vaccines,Phase 1 Desc,ACTRN12620000674932p,1
Vaccines,Phase 1 Desc,NCT04487210,1
Vaccines,Phase 1 Desc,NCT04436471 NCT04437875,1
Vaccines,Phase 1 Desc,ChiCTR2000030906 Study Report,1
Vaccines,Phase 1 Desc,IFV/COR/04,1
Vaccines,Phase 1 Desc,NCT04528641,1
Vaccines,Phase 1 Desc,NCT04450004,1
Vaccines,Phase 1 Desc,NCT04497298,1
Vaccines,Phase 1 Desc,ISRCTN17072692,1
Vaccines,Phase 1 Desc,NCT04405908,1
Vaccines,Phase 1 Desc,NCT04445194,1
Vaccines,Phase 1 Desc,ChiCTR2000037518,1
Vaccines,Phase 1/2 Desc,NCT04445389,1
Vaccines,Phase 1/2 Desc,CTRI/2020/07/026352,1
Vaccines,Phase 1/2 Desc,NCT04368988,1
Vaccines,Phase 1/2 Desc,NCT04436276,1
Vaccines,Phase 1/2 Desc,2020-001038-36 ChiCTR2000034825 Study Report,1
Vaccines,Phase 1/2 Desc,ChiCTR2000031809 Interim Report,1
Vaccines,Phase 1/2 Desc,NCT04530357,1
Vaccines,Phase 1/2 Desc,NCT04471519,1
Vaccines,Phase 1/2 Desc,NCT04470609,1
Vaccines,Phase 1/2 Desc,NCT04473690,1
Vaccines,Phase 1/2 Desc,NCTO4480957,1
Vaccines,Phase 1/2 Desc,NCT04463472 NCT04527081,1
Vaccines,Phase 1/2 Desc,ChiCTR2000032459,1
Vaccines,Phase 1/2 Desc,NCT04447781 NCTO4336410,1
Vaccines,Phase 1/2 Desc,NCTO4383574 NCTO4352608,1
Vaccines,Phase 1/2 Desc,PACTR202006922165132 2020-001072-15 Interim Report,1
Vaccines,Phase 2 Desc,ChiCTR2000031781 Study Report,1
Vaccines,Phase 2 Desc,2020-001228-32,1
Vaccines,Phase 2 Desc,NCT04466085,1
Vaccines,Phase 2 Desc,NCT04515147,1
Vaccines,Phase 2 Desc,NCT04405076,1
Vaccines,Phase 3 Desc,ChiCTR2000034780,2
Vaccines,Phase 3 Desc,NCT04368728,1
Vaccines,Phase 3 Desc,NCT04530396,1
Vaccines,Phase 3 Desc,NCT04526990,1
Vaccines,Phase 3 Desc,NCT04456595 669/UN6.KEP/EC/2020,1
Vaccines,Phase 3 Desc,NCT04470427,1
Vaccines,Phase 3 Desc,NCT04505722 (not yet recruiting),1
Vaccines,Phase 3 Desc,ISRCTN89951424 NCT04516746,1
Vaccines,Clinical Phase,Pre-Clinical,142
Vaccines,Clinical Phase,Phase 1,12
Vaccines,Clinical Phase,Phase 1/2,10
Vaccines,Clinical Phase,Phase 3,9
Vaccines,Clinical Phase,Phase 2,2
Vaccines,Clinical Stage,Pre-Clinical,142
Vaccines,Clinical Stage,Clinical,33
Vaccines,Coronavirus Target,SARS-CoV2,171
Vaccines,Coronavirus Target,SARS-CoV1 SARS-CoV2,1
Vaccines,Coronavirus Target,Pan-Corona,1
Vaccines,Coronavirus Target,"SARS-CoV2, SARS-CoV, & MERS-CoV",1
Vaccines,Coronavirus Target,SARS-CoV2 and Sarbeco- Coronaviruses,1
Vaccines,Shared Platforms,Influenza,6
Vaccines,Shared Platforms,MERS,4
Vaccines,Shared Platforms,SARS,2
Vaccines,Shared Platforms,"LASV, EBOV, MARV, HIV",1
Vaccines,Shared Platforms,Multiple candidates,1
Vaccines,Shared Platforms,"HeV, NiV, EBOV, LASSA, CCHFV, MERS",1
Vaccines,Shared Platforms,"HAV, InfA, ZIKV, FMD, SIV, RSV, DENV",1
Vaccines,Shared Platforms,H7N9,1
Vaccines,Shared Platforms,"Zika, H7N9, CHIKV",1
Vaccines,Shared Platforms,malaria,1
Vaccines,Shared Platforms,Many,1
Vaccines,Shared Platforms,"CMV, GBM, Zika",1
Vaccines,Shared Platforms,"HIV, MERS",1
Vaccines,Shared Platforms,Hepatitis C,1
Vaccines,Shared Platforms,"Smallpox, monkeypox",1
Vaccines,Shared Platforms,"InfA, CHIKV, LASV, NORV; EBOV, RVF, HBV, VEE",1
Vaccines,Shared Platforms,"flu, Chik, Zika, EBOV, LASV, HIV/SIV,Cance",1
Vaccines,Shared Platforms,"Zika, VZV, HSV-2 and Norovirus",1
Vaccines,Shared Platforms,"Influenza, SARS-CoV",1
Vaccines,Shared Platforms,"NSCLC, HIV, malaria, Zika",1
Vaccines,Shared Platforms,"Ebola, Marburg, Lassa",1
Vaccines,Shared Platforms,"JE, Zika",1
Vaccines,Shared Platforms,HPV,1
Vaccines,Shared Platforms,"Influenza, HIV, SARS-CoV",1
Vaccines,Shared Platforms,"Ebola, Marburg, HIV, Zika, Influenza, HPV therapeutic vaccine, BreastCA vaccine",1
Vaccines,Shared Platforms,"rubella, rotavirus",1
Vaccines,Shared Platforms,"Flu A, plague",1
