,clinical_stage,column_name,column_value,value_count
30, Clinical,Candidate Type,Drosophila S2 insect cel expression system VLPS,1
31, Clinical,Candidate Type,Enveloped Virus-Like Particle (eV/LP),1
32, Clinical,Candidate Type,Full length recombinant SARS CoV-2 glycoprotein nanoparticle vaccine adjuvanted with Matrix M,1
33, Clinical,Candidate Type,Horsepox vector expressing S protein,1
0, Clinical,Clinical Phase,Phase 1,12
1, Clinical,Clinical Phase,Phase 1/2,10
2, Clinical,Clinical Phase,Phase 2,3
3, Clinical,Clinical Phase,Phase 3,9
4, Clinical,Clinical Phase,Pre-Clinical,144
0, Clinical,Clinical Stage,Clinical,34
1, Clinical,Clinical Stage,Pre-Clinical,144
0, Clinical,Coronavirus Target,Pan-Corona,1
1, Clinical,Coronavirus Target,SARS-CoV-2,174
2, Clinical,Coronavirus Target,SARS-CoV-2 and Sarbeco- Coronaviruses,1
3, Clinical,Coronavirus Target,"SARS-CoV-2, SARS-CoV, & MERS-CoV",1
4, Clinical,Coronavirus Target,SARS-CoV1 SARS-CoV-2,1
0, Clinical,Developer,AJ Vaccines,1
1, Clinical,Developer,ARTES Biotechnology,1
2, Clinical,Developer,AdaptVac (PREVENT-nCoV consortium),1
3, Clinical,Developer,Altimmune,1
4, Clinical,Developer,"Anhui Zhifei Longcom Biopharmaceutical/institute of Microbiology, Chinese Academy of Sciences",1
5, Clinical,Developer,Ankara University,1
6, Clinical,Developer,AnyGo Technology,1
7, Clinical,Developer,"Applied Biotechnology Institute, Inc.",1
8, Clinical,Developer,Arcturus/Duke-NUS,1
9, Clinical,Developer,Aurobindo,1
10, Clinical,Developer,Axon Neuroscience SE,1
11, Clinical,Developer,BIOCAD,1
12, Clinical,Developer,Baiya Phytopharm/ Chula Vaccine Research Center,1
13, Clinical,Developer,Baylor College of Medicine,1
14, Clinical,Developer,Beijing Institute of Biological Products/Sinopharm,1
15, Clinical,Developer,"Beijing Minhai Biotechnology Co., Ltd.",1
16, Clinical,Developer,Bezmialem Vakif University,1
17, Clinical,Developer,Bharat Biotech,1
18, Clinical,Developer,Bharat Biotech/Thomas Jefferson University,1
19, Clinical,Developer,BiOCAD and IEM,1
20, Clinical,Developer,BiOMVis Sri/Univ. of Trento,1
21, Clinical,Developer,BioNTech/Fosun Pharma/Pfizer,1
22, Clinical,Developer,BioNet Asia,1
23, Clinical,Developer,Biologica E Ltd,1
24, Clinical,Developer,Bogazici University,1
25, Clinical,Developer,Cadila Healthcare Limited,2
26, Clinical,Developer,CanSino Biological Inc./Beijing Institute of Biotechnology,1
27, Clinical,Developer,CanSino Biologics/Precision NanoSystems,1
28, Clinical,Developer,"Centro Nacional Biotecnologia (CNB-CSIC), Spain",2
29, Clinical,Developer,China CDC/Tongji University/Stermina,1
30, Clinical,Developer,Chula Vaccine Research Center,1
31, Clinical,Developer,Chula Vaccine Research Center/University of Pennsylvania,1
32, Clinical,Developer,"Chulalongkorn University/GPO, Thailand",1
33, Clinical,Developer,Clover Biopharmaceuticals Inc./GSK/Dynavax,1
0, Clinical,Dose Count,1,4
1, Clinical,Dose Count,1 or 2,1
2, Clinical,Dose Count,2,26
3, Clinical,Dose Count,2 or 3,1
4, Clinical,Dose Count,3,1
5, Clinical,Dose Count,TBD,145
0, Clinical,Dose Timing,"0,14 days",3
1, Clinical,Dose Timing,"0,14 or 0,21 days",2
2, Clinical,Dose Timing,"0,14 or 0,28 days",1
3, Clinical,Dose Timing,"0,21 days",8
4, Clinical,Dose Timing,"0,28 days",11
5, Clinical,Dose Timing,"0,28 or 0,28,56 days",1
6, Clinical,Dose Timing,"0,28,56 days",1
7, Clinical,Dose Timing,"0,56 days",1
8, Clinical,Dose Timing,TBD,150
0, Clinical,Phase 1 Desc,ACTRN12620000674932p,1
1, Clinical,Phase 1 Desc,ChiCTR2000030906 Study Report,1
2, Clinical,Phase 1 Desc,ChiCTR2000034112,1
3, Clinical,Phase 1 Desc,ChiCTR2000037518,1
4, Clinical,Phase 1 Desc,IFV/COR/04,1
5, Clinical,Phase 1 Desc,ISRCTN17072692,1
6, Clinical,Phase 1 Desc,NCT04405908,1
7, Clinical,Phase 1 Desc,NCT04412538,1
8, Clinical,Phase 1 Desc,NCT04436471 NCT04437875 Study Report,1
9, Clinical,Phase 1 Desc,NCT04445194,1
10, Clinical,Phase 1 Desc,NCT04449276,1
11, Clinical,Phase 1 Desc,NCT04453852,1
12, Clinical,Phase 1 Desc,NCT04487210,1
13, Clinical,Phase 1 Desc,NCT04497298,1
14, Clinical,Phase 1 Desc,NCT04527575,1
15, Clinical,Phase 1 Desc,NCTO4283461 Interim Report,1
16, Clinical,Phase 1 Desc,NCTO4450004,1
17, Clinical,Phase 1 Desc,NCTO4528641,1
0, Clinical,Phase 1/2 Desc,2020-001038-36 ChiCTR2000034825 NCT04537949 Study Report,1
1, Clinical,Phase 1/2 Desc,CTRI/2020/07/026352,1
2, Clinical,Phase 1/2 Desc,ChiCTR2000031809 Interim Report,1
3, Clinical,Phase 1/2 Desc,ChiCTR2000032459,1
4, Clinical,Phase 1/2 Desc,NCT04368988 Study Report,1
5, Clinical,Phase 1/2 Desc,NCT04383574 NCT04352608,1
6, Clinical,Phase 1/2 Desc,NCT04436276,1
7, Clinical,Phase 1/2 Desc,NCT04447781 NCTO4336410,1
8, Clinical,Phase 1/2 Desc,NCT04463472 NCTO4527081,1
9, Clinical,Phase 1/2 Desc,NCT04470609,1
10, Clinical,Phase 1/2 Desc,NCT04471519,1
11, Clinical,Phase 1/2 Desc,NCT04473690,1
12, Clinical,Phase 1/2 Desc,NCT04480957,1
13, Clinical,Phase 1/2 Desc,NCT04530357,1
14, Clinical,Phase 1/2 Desc,NCTO4445389,1
15, Clinical,Phase 1/2 Desc,NCTO4537208,1
16, Clinical,Phase 1/2 Desc,PACTR202006922165132 2020-001072-15 Interim Report,1
0, Clinical,Phase 2 Desc,2020-001228-32,1
1, Clinical,Phase 2 Desc,ChiCTR2000031781 Study Report,1
2, Clinical,Phase 2 Desc,NCT04405076,1
3, Clinical,Phase 2 Desc,NCT04466085,1
4, Clinical,Phase 2 Desc,NCT04515147,1
5, Clinical,Phase 2 Desc,NCT04533399 (phase 2b),1
0, Clinical,Phase 3 Desc,ChiCTR2000034780,2
1, Clinical,Phase 3 Desc,ISRCTN89951424 NCT04516746,1
2, Clinical,Phase 3 Desc,NCT04368728,1
3, Clinical,Phase 3 Desc,NCT04456595 669/UN6.KEP/EC/2020,1
4, Clinical,Phase 3 Desc,NCT04470427,1
5, Clinical,Phase 3 Desc,NCT04505722 (not yet recruiting),1
6, Clinical,Phase 3 Desc,NCT04526990,1
7, Clinical,Phase 3 Desc,NCT04530396,1
0, Clinical,Platform,DNA,16
1, Clinical,Platform,Inactivated,15
2, Clinical,Platform,Live Attenuated Virus,3
3, Clinical,Platform,Non-Replicating Viral Vector,23
4, Clinical,Platform,Protein Subunit,63
5, Clinical,Platform,RNA,23
6, Clinical,Platform,Replicating Bacteria Vector,1
7, Clinical,Platform,Replicating Viral Vector,19
8, Clinical,Platform,T-cell based,1
9, Clinical,Platform,VLP,14
0, Clinical,Route,ID,2
1, Clinical,Route,IM,32
2, Clinical,Route,TBD,144
0, Clinical,Shared Platforms,"CMV, GBM, Zika",1
1, Clinical,Shared Platforms,"Ebola, Marburg, HIV, Zika, Influenza, HPV therapeutic vaccine, BreastCA vaccine",1
2, Clinical,Shared Platforms,"Ebola, Marburg, Lassa",1
3, Clinical,Shared Platforms,"Flu A, plague",1
4, Clinical,Shared Platforms,H7N9,1
5, Clinical,Shared Platforms,"HAV, InfA, ZIKV, FMD, SIV, RSV, DENV",1
6, Clinical,Shared Platforms,"HIV, MERS",1
7, Clinical,Shared Platforms,HPV/,1
8, Clinical,Shared Platforms,"HeV, NiV, EBOV, LASSA, CCHFV, MERS",1
9, Clinical,Shared Platforms,Hepatitis C,1
10, Clinical,Shared Platforms,"InfA, CHIKV, LASV, NORV; EBOV, RVF, HBV, VEE",1
11, Clinical,Shared Platforms,Influenza,6
12, Clinical,Shared Platforms,"Influenza, HIV, SARS-CoV",1
13, Clinical,Shared Platforms,"JE, Zika",1
14, Clinical,Shared Platforms,"LASV, EBOV, MARV, HIV",1
15, Clinical,Shared Platforms,MERS,4
16, Clinical,Shared Platforms,Many,1
17, Clinical,Shared Platforms,Multiple candidates,1
18, Clinical,Shared Platforms,"NSCLC, HIV, malaria, Zika",1
19, Clinical,Shared Platforms,SARS,2
20, Clinical,Shared Platforms,"Smallpox, monkeypox",1
21, Clinical,Shared Platforms,"Zika, H7N9, CHIKV",1
22, Clinical,Shared Platforms,"Zika, VZV, HSV-2 and Norovirus",1
23, Clinical,Shared Platforms,"flu, Chik, Zika, EBOV, LASV, HIV/SIV,Can V,Cancer",1
24, Clinical,Shared Platforms,malaria,1
25, Clinical,Shared Platforms,"rubella, rotavirus",1
34, Pre-Clinical,Candidate Type,Inactivated,9
35, Pre-Clinical,Candidate Type,Inactivated + CpG 1018,2
36, Pre-Clinical,Candidate Type,Inactivated + alum,1
37, Pre-Clinical,Candidate Type,Inactivated Flu-based SARS-CoV2 vaccine + Adjuvant,1
38, Pre-Clinical,Candidate Type,Inactivated whole virus,1
39, Pre-Clinical,Candidate Type,Influenza A H1N1 vector,1
40, Pre-Clinical,Candidate Type,Influenza vector expressing RBD,1
41, Pre-Clinical,Candidate Type,LNP-encapsulated mRNA,2
42, Pre-Clinical,Candidate Type,LNP-encapsulated mRNA cocktail encoding VLP,1
43, Pre-Clinical,Candidate Type,LNP-encapsulated mRNA encoding RBD,1
44, Pre-Clinical,Candidate Type,LNP-encapsulated mRNA encoding S,1
45, Pre-Clinical,Candidate Type,LNP-mRNA,3
46, Pre-Clinical,Candidate Type,LNP-nCOVsaRNA,1
47, Pre-Clinical,Candidate Type,Liposome-encapsulated mRNA,1
48, Pre-Clinical,Candidate Type,Live viral vectored vaccine based on attenuated influenza virus backbone (intranasal),1
49, Pre-Clinical,Candidate Type,M2-deficient single replication (M2SR) influenza vector,1
50, Pre-Clinical,Candidate Type,MVA encoded VLP,1
51, Pre-Clinical,Candidate Type,MVA expressing structural proteins,1
52, Pre-Clinical,Candidate Type,MVA-S,1
53, Pre-Clinical,Candidate Type,MVA-S encoded,1
54, Pre-Clinical,Candidate Type,Measles Vector,2
55, Pre-Clinical,Candidate Type,"Measles Virus (S, N targets)",1
56, Pre-Clinical,Candidate Type,Measles-vector based,1
57, Pre-Clinical,Candidate Type,Molecular clamp stabilized Spike protein with MF59 adjuvant,1
58, Pre-Clinical,Candidate Type,MsDNA vaccine,1
59, Pre-Clinical,Candidate Type,Nanoparticle vaccine,1
60, Pre-Clinical,Candidate Type,Native like Trimeric subunit Spike Protein vaccine,1
61, Pre-Clinical,Candidate Type,Newcastle disease virus vector (NDV-SARS- CoV-2/Spike),1
62, Pre-Clinical,Candidate Type,OMV-based vaccine,2
63, Pre-Clinical,Candidate Type,Ora Vaccine platform,1
64, Pre-Clinical,Candidate Type,Oral Ad5 S,1
65, Pre-Clinical,Candidate Type,Oral E. coli-based protein expression system of s and N proteins,1
66, Pre-Clinical,Candidate Type,Oral Salmonella enteritidis (3934Vac) based protein expression system of RBD,1
67, Pre-Clinical,Candidate Type,"Orally delivered, heat stable subunit",1
68, Pre-Clinical,Candidate Type,Outer Membrane Vesicle (OMV)-subunit,1
69, Pre-Clinical,Candidate Type,Outer Membrane Vesicle(OMV)-peptide,1
70, Pre-Clinical,Candidate Type,Peptide,3
71, Pre-Clinical,Candidate Type,Peptide + nove adjuvant,1
72, Pre-Clinical,Candidate Type,Peptide antigens formulated in LNP,1
73, Pre-Clinical,Candidate Type,Peptides,1
74, Pre-Clinical,Candidate Type,Peptides derived from Spike protein,1
75, Pre-Clinical,Candidate Type,Plant-based subunit (RBD-Fc Adjuvant),1
76, Pre-Clinical,Candidate Type,Plant-derived VLP adjuvanted with GSK or Dynavax adjs.,1
77, Pre-Clinical,Candidate Type,"Plasmid DNA, Needle-Free Delivery",1
78, Pre-Clinical,Candidate Type,Protein Subunit,3
79, Pre-Clinical,Candidate Type,Protein Subunit EPV-CoV-19,1
80, Pre-Clinical,Candidate Type,"Protein Subunit S,N,M&S1 protein",1
81, Pre-Clinical,Candidate Type,RBD (baculovirus production expressed in Sf9 cells),1
82, Pre-Clinical,Candidate Type,RBD + Adjuvant,1
83, Pre-Clinical,Candidate Type,RBD protein (baculovirus production) -+ FAR- Squalene adjuvant,1
84, Pre-Clinical,Candidate Type,RBD protein fused with Fc of IgG + Adj.,1
85, Pre-Clinical,Candidate Type,RBD-based,2
86, Pre-Clinical,Candidate Type,RBD-protein,1
87, Pre-Clinical,Candidate Type,Recombinant S protein,2
88, Pre-Clinical,Candidate Type,Recombinant S protein in IC-BEVS,1
89, Pre-Clinical,Candidate Type,Recombinant S1-Fc fusion protein,1
90, Pre-Clinical,Candidate Type,Recombinant deactivated rabies virus containing S1,1
91, Pre-Clinical,Candidate Type,Recombinant protein,1
92, Pre-Clinical,Candidate Type,"Recombinant protein, nanoparticles (based on S-protein and other epitopes)",1
93, Pre-Clinical,Candidate Type,Recombinant spike protein with AdvaxM adjuvant,1
94, Pre-Clinical,Candidate Type,Recombinant spike protein with Essai O/W 1849101 adjuvant,1
95, Pre-Clinical,Candidate Type,"Recombinant vaccine based on Influenza A virus, for the prevention of COVID-19 (intranasal)",1
96, Pre-Clinical,Candidate Type,Replicating Defective SARS-CoV-2 derived RNAs,1
97, Pre-Clinical,Candidate Type,Replicating VSV vector-based DC-targeting,1
98, Pre-Clinical,Candidate Type,Replication defective Simian Adenovirus (GRAd) encoding S,1
99, Pre-Clinical,Candidate Type,Replication-competent VSV chimeric virus technology (VSVAG) delivering the SARS-CoV- 2 Spike (S) glycoprotein.,1
100, Pre-Clinical,Candidate Type,S protein,2
101, Pre-Clinical,Candidate Type,S protein (baculovirus production),1
102, Pre-Clinical,Candidate Type,S protein +Adjuvant,1
103, Pre-Clinical,Candidate Type,S protein integrated in HIV VLPS,1
104, Pre-Clinical,Candidate Type,S subunit intranasal liposomal formulation with GLA/3M052 adjs.,1
105, Pre-Clinical,Candidate Type,S-2P protein + CpG 1018,1
106, Pre-Clinical,Candidate Type,"S-Protein (Subunit) + Adjuvant, E coli based Expression",1
107, Pre-Clinical,Candidate Type,S1 or RBD protein,1
108, Pre-Clinical,Candidate Type,Self-amplifying RNA,1
109, Pre-Clinical,Candidate Type,Sendai virus vector,1
110, Pre-Clinical,Candidate Type,Several mRNA candidates,1
111, Pre-Clinical,Candidate Type,Spike-based,1
112, Pre-Clinical,Candidate Type,Spike-based (epitope screening),1
113, Pre-Clinical,Candidate Type,"Subunit protein, plant produced",1
114, Pre-Clinical,Candidate Type,Subunit vaccine,1
115, Pre-Clinical,Candidate Type,Synthetic Long Peptide Vaccine candidate for S and M proteins,1
116, Pre-Clinical,Candidate Type,TBD,1
117, Pre-Clinical,Candidate Type,Unknown,1
118, Pre-Clinical,Candidate Type,VLP,3
119, Pre-Clinical,Candidate Type,VLP + Adjuvant,1
120, Pre-Clinical,Candidate Type,VLP-recombinant protein + Adjuvant,1
121, Pre-Clinical,Candidate Type,VLPS peptides/whole virus,1
122, Pre-Clinical,Candidate Type,VSV vector,1
123, Pre-Clinical,Candidate Type,VSV-S,3
124, Pre-Clinical,Candidate Type,"Virus-like particle, based on RBD displayed on virus-like particles",1
125, Pre-Clinical,Candidate Type,Virus-like particle-based Dendritic Cell(DC)- targeting vaccine,1
126, Pre-Clinical,Candidate Type,"Virus-like particles, lentivirus and baculovirus vehicles",1
127, Pre-Clinical,Candidate Type,Whole-Virion Inactivated,1
128, Pre-Clinical,Candidate Type,YF17D Vector,1
129, Pre-Clinical,Candidate Type,adenovirus-based + HLA-matched peptides,1
130, Pre-Clinical,Candidate Type,adenovirus-based NasoVAx expressing SARS2-CoV spike protein,1
131, Pre-Clinical,Candidate Type,bacTRL-Spike,1
132, Pre-Clinical,Candidate Type,eVLP,1
133, Pre-Clinical,Candidate Type,gp-96 backbone,1
134, Pre-Clinical,Candidate Type,li-Key peptide,1
135, Pre-Clinical,Candidate Type,mRNA,8
136, Pre-Clinical,Candidate Type,mRNA in an intranasal delivery system,1
137, Pre-Clinical,Candidate Type,microneedle arrays S1 subunit,1
138, Pre-Clinical,Candidate Type,parainfluenza virus 5 (PIV5)-based vaccine expressing the spike protein,1
139, Pre-Clinical,Candidate Type,s protein,1
140, Pre-Clinical,Candidate Type,structurally modified spherical particles of the tobacco mosaic virus (TMV),1
34, Pre-Clinical,Developer,Codagenix/Serum Institute of India,1
35, Pre-Clinical,Developer,Curevac,1
36, Pre-Clinical,Developer,DIOSynVax Ltd / University of Cambridge,1
37, Pre-Clinical,Developer,DZIF German Center for Infection Research/CanVirex AG,1
38, Pre-Clinical,Developer,DZIF German Center for Infection Research/IDT Biologika GmbH,1
39, Pre-Clinical,Developer,Doherty Institute,1
40, Pre-Clinical,Developer,Ege University,1
41, Pre-Clinical,Developer,Entos Pharmaceuticals,1
42, Pre-Clinical,Developer,EpiVax,1
43, Pre-Clinical,Developer,EpiVax/Univ. of Georgia,1
44, Pre-Clinical,Developer,Erciyes University,2
45, Pre-Clinical,Developer,ExpreS2ion,1
46, Pre-Clinical,Developer,"FBRI SRC VB VECTOR, Rospotrebnadzor, Koltsovo",6
47, Pre-Clinical,Developer,Farmacologicos Veterinarios SAC (FARVET SAC) / Universidad Peruana Cayetano Heredia (UPCH),2
48, Pre-Clinical,Developer,Flow Pharma Inc,1
49, Pre-Clinical,Developer,Fudan University/ y/Shangha iaoTong University/RNACure Biopharma,2
50, Pre-Clinical,Developer,Fundacao Oswaldo Cruz and Instituto Buntantan,1
51, Pre-Clinical,Developer,Gamaleya Research Institute,1
52, Pre-Clinical,Developer,Generex/EpiVax,1
53, Pre-Clinical,Developer,Genexine Consortium,1
54, Pre-Clinical,Developer,Gennova,1
55, Pre-Clinical,Developer,GeoVax/BravoVax,1
56, Pre-Clinical,Developer,Greenlight Biosciences,1
57, Pre-Clinical,Developer,Greffex,1
58, Pre-Clinical,Developer,Heat Biologics/Univ. Of Miami,1
59, Pre-Clinical,Developer,"Helix Biogen Consult, Ogbomoso & Trinity Immonoefficient Laboratory, Ogbomoso, Oyo State, Nigeria.",1
60, Pre-Clinical,Developer,IAVI/Merck,1
61, Pre-Clinical,Developer,ID Pharma,1
62, Pre-Clinical,Developer,"IDIBAPS-Hospita Clinic, Spain",2
63, Pre-Clinical,Developer,IMV Inc,1
64, Pre-Clinical,Developer,"ImmunityBio, Inc. & Nantkwest, Inc.",1
65, Pre-Clinical,Developer,ImmunoPrecise/LiteVax BV,1
66, Pre-Clinical,Developer,"Immunomic Therapeutics, Inc./EpiVax, Inc./PharmaJet",1
67, Pre-Clinical,Developer,Imophoron Ltd and Bristol University's Max Planck Centre,1
68, Pre-Clinical,Developer,Imperial College London,1
69, Pre-Clinical,Developer,Indian Immunologicals Ltd/Griffith University,1
70, Pre-Clinical,Developer,Innovax/Xiamen Univ./GSK,1
71, Pre-Clinical,Developer,Inovio Pharmaceuticals/ International Vaccine Institute,1
72, Pre-Clinical,Developer,Institute Pasteur/Themis/Univ. of Pittsburg CVR/Merck Sharp & Dohme,1
73, Pre-Clinical,Developer,"Institute of Medical Biology, Chinese Academy of Medical Sciences",1
74, Pre-Clinical,Developer,"Instituto Finlay de Vacunas, Cuba",1
75, Pre-Clinical,Developer,Intravacc/Epivax,2
76, Pre-Clinical,Developer,Intravacc/Wageningen Bioveterinary Research/Utrecht Univ.,1
77, Pre-Clinical,Developer,IrsiCaixa AIDS Research/IRTA-CReSA/Barcelona Supercomputing Centre/Grifols,1
78, Pre-Clinical,Developer,Israel Institute for Biologica Research/Weizmann Institute of Science,1
79, Pre-Clinical,Developer,Izmir Biomedicine and Genome Center,1
80, Pre-Clinical,Developer,Janssen Pharmaceutical Companies,1
81, Pre-Clinical,Developer,KM Biologics,1
82, Pre-Clinical,Developer,KU Leuven,1
83, Pre-Clinical,Developer,Karolinska Institute / Cobra Biologics (OPENCORONA Project),1
84, Pre-Clinical,Developer,"Kazakh National Agrarian University, Kazakhstan / National Scientific Center for Especially Dangerous Infections",1
85, Pre-Clinical,Developer,"Kentucky Bioprocessing, Inc",1
86, Pre-Clinical,Developer,"LakePharma, Inc.",1
87, Pre-Clinical,Developer,Lomonosov Moscow State University,1
88, Pre-Clinical,Developer,MIGAL Galilee Research Institute,1
89, Pre-Clinical,Developer,"MOGAM Institute for Biomedical Research, GC Pharma",1
90, Pre-Clinical,Developer,Mahidol University/ The Government Pharmaceutical Organization (GPO)/Siriraj Hospital,1
91, Pre-Clinical,Developer,Massachusetts Eye and Ear/Massachusetts General Hospital/AveXis,1
92, Pre-Clinical,Developer,Max-Planck-institute of Colloids and Interfaces,2
93, Pre-Clinical,Developer,Medicago Inc.,1
94, Pre-Clinical,Developer,Medigen Vaccine Biologics Corporation/NIAID/Dynavax,1
95, Pre-Clinical,Developer,Mediphage Bioceuticals/Universit of Waterloo,1
96, Pre-Clinical,Developer,Mehmet Ali Aydinlar University / Acibadem Labmed Health Services A.S.,1
97, Pre-Clinical,Developer,Middle East Technical University,1
98, Pre-Clinical,Developer,Moderna/NIAID,1
99, Pre-Clinical,Developer,Mynvax,1
100, Pre-Clinical,Developer,"National Center for Genetic Engineering and Biotechnology (BIOTEC) /GPO, Thailand",1
101, Pre-Clinical,Developer,"National Institute of Infectious Disease, Japan/Shionogi/UMN Pharma",1
102, Pre-Clinical,Developer,"National Research Centre, Egypt",4
103, Pre-Clinical,Developer,"Navarrabiomed, Oncoimmunology group",1
104, Pre-Clinical,Developer,Neo7Logic,1
105, Pre-Clinical,Developer,Neovii/Tel Aviv University,1
106, Pre-Clinical,Developer,Novavax,1
107, Pre-Clinical,Developer,OSE immunotherapeutics,1
108, Pre-Clinical,Developer,OSIVAX,1
109, Pre-Clinical,Developer,OncoGen,1
110, Pre-Clinical,Developer,Osaka University/ AnGes/ /Takara Bio,1
111, Pre-Clinical,Developer,Osaka University/ BIKEN/ National Institutes of Biomedical Innovation,1
112, Pre-Clinical,Developer,"Osaka University/ BIKEN/ National Institutes of Biomedical Innovation, Japan",1
113, Pre-Clinical,Developer,People's Liberation Army (PLA) Academy of Military Sciences/Walvax Biotech.,1
114, Pre-Clinical,Developer,Quadram Institute Biosciences,1
115, Pre-Clinical,Developer,"RNAimmune, Inc.",1
116, Pre-Clinical,Developer,ReiThera/LEUKOCARE/Univercells,1
117, Pre-Clinical,Developer,"Research Institute for Biological Safety Problems, Rep of Kazakhstan",2
118, Pre-Clinical,Developer,Saiba GmbH,1
119, Pre-Clinical,Developer,Saint-Petersburg scientific research institute of vaccines and serums,1
120, Pre-Clinical,Developer,Sanofi Pasteur/GSK,1
121, Pre-Clinical,Developer,Scancell/University of Nottingham/Nottingh Trent University,1
122, Pre-Clinical,Developer,Selcuk University,2
123, Pre-Clinical,Developer,Sinovac,1
124, Pre-Clinical,Developer,Sinovac/Dynavax,1
125, Pre-Clinical,Developer,Stabilitech Biopharma Ltd,1
126, Pre-Clinical,Developer,Symvivo,1
127, Pre-Clinical,Developer,Takis/Applied DNA Sciences/Evvivax,1
128, Pre-Clinical,Developer,"The Lancaster University, UK",1
129, Pre-Clinical,Developer,Tonix Pharma/Southern Research,1
130, Pre-Clinical,Developer,Translate Bio/Sanofi Pasteur,1
131, Pre-Clinical,Developer,UW-Madison/FluGen/Bharat Biotech,1
132, Pre-Clinical,Developer,Univ. of Pittsburgh,1
133, Pre-Clinical,Developer,Univ. of Sao Paulo,1
134, Pre-Clinical,Developer,University of Alberta,1
135, Pre-Clinical,Developer,University of Georgia/University of lowa,1
136, Pre-Clinical,Developer,University of Hong Kong,1
137, Pre-Clinical,Developer,University of Manitoba,2
138, Pre-Clinical,Developer,University of Oxford/AstraZeneca,1
139, Pre-Clinical,Developer,University of Queensland/CSL/Seqirus,1
140, Pre-Clinical,Developer,"University of San Martin and CONICET, Argentina",1
141, Pre-Clinical,Developer,University of Tokyo/ Daiichi-Sankyo,1
142, Pre-Clinical,Developer,University of Virginia,1
143, Pre-Clinical,Developer,University of Western Ontario,1
144, Pre-Clinical,Developer,VBI Vaccines Inc.,1
145, Pre-Clinical,Developer,"VIDO-InterVac, University of Saskatchewan",1
146, Pre-Clinical,Developer,Vabiotech,1
147, Pre-Clinical,Developer,Valneva/Dynavax,1
148, Pre-Clinical,Developer,Valo Therapeutics Ltd,1
149, Pre-Clinical,Developer,Vaxart,1
150, Pre-Clinical,Developer,Vaxil Bio,1
151, Pre-Clinical,Developer,Vaxine Pty Ltd/Medytox,1
152, Pre-Clinical,Developer,WRAIR/USAMRIID,1
153, Pre-Clinical,Developer,"West China Hospital, Sichuan University",1
154, Pre-Clinical,Developer,Wuhan Institute of Biological Products/Sinopharm,1
155, Pre-Clinical,Developer,Yisheng Biopharma,1
156, Pre-Clinical,Developer,eTheRNA,1
157, Pre-Clinical,Developer,iBio/cc-Pharming,1
