Developer,Platform,Candiate Type,Dose Count,Dose Timing,Route,Phase 1 Desc,Phase 1/2 Desc,Phase 2 Desc,Phase 3 Desc,Clinical Phase,Clinical Stage,Coronavirus Target,Shared Platforms
"Research Institute for Biological Safety Problems, Rep of Kazakhstan",Inactivated,Inactivated,2,"0,21 days",IM,,NCT04530357,,,Phase 1/2,Clinical,SARS-CoV2,
Inovio Pharmaceuticals/ International Vaccine Institute,DNA,DNA plasmid vaccine with electroporation,2,"0,28 days",ID,,NCT04447781 NCTO4336410,,,Phase 1/2,Clinical,SARS-CoV2,
Osaka University/ AnGes/ Takara Bio,DNA,DNA plasmid vaccine + Adjuvant,2,"0,14 days",IM,,NCT04463472 NCT04527081,,,Phase 1/2,Clinical,SARS-CoV2,
Cadila Healthcare Limited,DNA,DNA plasmid vaccine,3,"0,28,56 days",ID,,CTRI/2020/07/026352,,,Phase 1/2,Clinical,SARS-CoV2,
Genexine Consortium,DNA,DNA Vaccine (GX-19),2,"0,28 days",IM,,NCT04445389,,,Phase 1/2,Clinical,SARS-CoV2,
Bharat Biotech,Inactivated,Whole-Virion Inactivated,2,"0,14 days",IM,,NCT04471519,,,Phase 1/2,Clinical,SARS-CoV2,
Janssen Pharmaceutical Companies,Non-Replicating Viral Vector,Ad26COVS1,2,"0,56 days",IM,,NCT04436276,,NCT04505722 (not yet recruiting),Phase 3,Clinical,SARS-CoV2,
Novavax,Protein Subunit,Full length recombinant SARS CoV-2 glycoprotein nanoparticle vaccine adjuvanted with Matrix M,2,"0,21 days",IM,,NCT04368988,,,Phase 1/2,Clinical,SARS-CoV2,
"Kentucky Bioprocessing, Inc",Protein Subunit,RBD-based,2,"0,21 days",IM,,NCT04473690,,,Phase 1/2,Clinical,SARS-CoV2,
Arcturus/Duke-NUS,RNA,mRNA,TBD,TBD,IM,,NCTO4480957,,,Phase 1/2,Clinical,SARS-CoV2,
ReiThera/LEUKOCARE/Univercells,Non-Replicating Viral Vector,Replication defective Simian Adenovirus (GRAd) encoding S,1,TBD,IM,NCT04528641,,,,Phase 1,Clinical,SARS-CoV2,
Clover Biopharmaceuticals Inc./GSK/Dynavax,Protein Subunit,Native like Trimeric subunit Spike Protein vaccine,2,"0,21 days",IM,NCT04405908,,,,Phase 1,Clinical,SARS-CoV2,
Vaxine Pty Ltd/Medytox,Protein Subunit,Recombinant spike protein with AdvaxM adjuvant,1,TBD,IM,NCT04453852,,,,Phase 1,Clinical,SARS-CoV2,
University of Queensland/CSL/Seqirus,Protein Subunit,Molecular clamp stabilized Spike protein with MF59 adjuvant,2,"0,28 days",IM,ACTRN12620000674932p,,,,Phase 1,Clinical,SARS-CoV2,
Medigen Vaccine Biologics Corporation/NIAID/Dynavax,Protein Subunit,S-2P protein + CpG 1018,2,"0,28 days",IM,NCT04487210,,,,Phase 1,Clinical,SARS-CoV2,
"Instituto Finlay de Vacunas, Cuba",Protein Subunit,RBD + Adjuvant,2,"0,28 days",IM,IFV/COR/04,,,,Phase 1,Clinical,SARS-CoV2,
"FBRI SRC VB VECTOR, Rospotrebnadzor, Koltsovo",Protein Subunit,Peptide,2,"0,21 days",IM,NCT04527575,,,,Phase 1,Clinical,SARS-CoV2,
"West China Hospital, Sichuan University",Protein Subunit,RBD (baculovirus production expressed in Sf9 cells),2,"0,28 days",IM,ChiCTR2000037518,,,,Phase 1,Clinical,SARS-CoV2,
Institute Pasteur/Themis/Univ. of Pittsburg CVR/Merck Sharp & Dohme,Replicating Viral Vector,Measles-vector based,1 or 2,"0,28 days",IM,NCT04497298,,,,Phase 1,Clinical,SARS-CoV2,
Imperial College London,RNA,LNP-nCoVsaRNA,2,TBD,IM,ISRCTN17072692,,,,Phase 1,Clinical,SARS-CoV2,
People's Liberation Army (PLA) Academy of Military Sciences/Walvax Biotech.,RNA,mRNA,2,"0,14 or 0,28 days",IM,ChiCTR2000034112,,,,Phase 1,Clinical,SARS-CoV2,
Medicago Inc.,VLP,Plant-derived VLP adjuvanted with GSK or Dynavax adjs.,2,"0,21 days",IM,NCT04450004,,,,Phase 1,Clinical,SARS-CoV2,
DIOSynVax Ltd / University of Cambridge,DNA,"DNA, engineered vaccine inserts compatible with multiple delivery systems",TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2 and Sarbeco- Coronaviruses,
Ege University,DNA,DNA vaccine,TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,
Scancell/University of Nottingham/Nottinghar Trent University,DNA,DNA plasmid vaccine RBD&N,TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,
"National Research Centre, Egypt",DNA,"DNA plasmid vaccine S,S1,S2,RBD &N",TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,
Karolinska Institute / Cobra Biologics (OPENCORONA Project),DNA,DNA with electroporation,TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,
Chula Vaccine Research Center,DNA,DNA with electroporation,TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,
Takis/Applied DNA Sciences/Evvivax,DNA,DNA,TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,
"Immunomic Therapeutics, Inc./EpiVax, Inc./Pharmalet",DNA,"Plasmid DNA, Needle-Free Delivery",TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,SARS
BioNet Asia,DNA,DNA vaccine,TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,
Mediphage Bioceuticals/University of Waterloo,DNA,MsDNA vaccine,TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,
Entos Pharmaceuticals,DNA,DNA vaccine,TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,
Symvivo,DNA,bacTRL-Spike,TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,
KM Biologics,Inactivated,Inactivated + alum,TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,"JE, Zika"
Selcuk University,Inactivated,Inactivated,TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,
Erciyes University,Inactivated,Inactivated,TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,
"National Research Centre, Egypt",Inactivated,Inactivated whole virus,TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,
"Beijing Minhai Biotechnology Co., Ltd.",Inactivated,Inactivated,TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,
Osaka University/ BIKEN/ National Institutes of Biomedical Innovation,Inactivated,TBD,TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,
Sinovac/Dynavax,Inactivated,Inactivated + CpG 1018,TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,
Valneva/Dynavax,Inactivated,Inactivated + CpG 1018,TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,
,Inactivated,Inactivated,TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,
Mehmet Ali Aydinlar University / Acibadem Labmed Health Services A.S.,Live Attenuated Virus,Codon deoptimized live attenuated vaccines,TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,
Codagenix/Serum Institute of India,Live Attenuated Virus,Codon deoptimized live attenuated vaccines,TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,"HAV, InfA, ZIKV, FMD, SIV, RSV, DENV"
Indian Immunologicals Ltd/Griffith University,Live Attenuated Virus,Codon deoptimized live attenuated vaccines,TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,
ID Pharma,Non-Replicating Viral Vector,Sendai virus vector,TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,
Ankara University,Non-Replicating Viral Vector,Adenovirus-based,TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,
Massachusetts Eye and Ear/Massachusetts General Hospital/AveXis,Non-Replicating Viral Vector,Adeno-associated virus vector (AAVCOVID),TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,
GeoVax/BravoVax,Non-Replicating Viral Vector,MVA encoded VLP,TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,"LASV, EBOV, MARV, HIV"
DZIF German Center for Infection Research/IDT Biologika GmbH,Non-Replicating Viral Vector,MVA-S encoded,TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,Many
"IDIBAPS-Hospital Clinic, Spain",Non-Replicating Viral Vector,MVA-S,TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,
Altimmune,Non-Replicating Viral Vector,adenovirus-based NasoVAX expressing SARS2-CoV spike protein,TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,Influenza
Erciyes University,Non-Replicating Viral Vector,Adeno5-based,TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,
"ImmunityBio, Inc. & Nantkwest, Inc.",Non-Replicating Viral Vector,"2nd Gen E2b- Ad5 Spike, RBD, Nucleocapsid Subcutaneous&ora",TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,"flu, Chik, Zika, EBOV, LASV, HIV/SIV,Cance"
Greffex,Non-Replicating Viral Vector,Ad5 S (GREVAXTM platform),TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,MERS
Stabilitech Biopharma Ltd,Non-Replicating Viral Vector,Ora Ad5 S,TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,"Zika, VZV, HSV-2 and Norovirus"
Valo Therapeutics Ltd,Non-Replicating Viral Vector,adenovirus-based + HLA-matched peptides,TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,Pan-Corona,
Vaxart,Non-Replicating Viral Vector,Oral Vaccine platform,TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,"InfA, CHIKV, LASV, NORV; EBOV, RVF, HBV, VEE"
"Centro Nacional Biotecnologia (CNB-CSIC), Spain",Non-Replicating Viral Vector,MVA expressing structural proteins,TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,Multiple candidates
University of Manitoba,Non-Replicating Viral Vector,Dendritic cell-based vaccine,TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,
University of Georgia/University of lowa,Non-Replicating Viral Vector,parainfluenza virus 5 (PIV5)-based vaccine expressing the spike protein,TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,MERS
Bharat Biotech/Thomas Jefferson University,Non-Replicating Viral Vector,Recombinant deactivated rabies virus containing S1,TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,"HeV, NiV, EBOV, LASSA, CCHFV, MERS"
"National Research Centre, Egypt",Non-Replicating Viral Vector,Influenza A H1N1 vector,TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,
"National Center for Genetic Engineering and Biotechnology (BIOTEC) /GPO, Thailand",Non-Replicating Viral Vector,Inactivated Flu-based SARS-CoV2 vaccine Adjuvant,TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,
Max-Planck-institute of Colloids and Interfaces,Protein Subunit,Recombinant S protein,TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,
Farmacologicos Veterinarios SAC (FARVET SAC) / Universidad Peruana Cayetano Heredia (UPCH),Protein Subunit,RBD protein (baculovirus production) + FAR- Squalene adjuvant,TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,
"Research Institute for Biological Safety Problems, Rep of Kazakhstan",Protein Subunit,Protein Subunit,TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,
Mynvax,Protein Subunit,RBD-protein,TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,
Izmir Biomedicine and Genome Center,Protein Subunit,Recombinant S protein,TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,
Bogazici University,Protein Subunit,Peptide + nove adjuvant,TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,
University of Virginia,Protein Subunit,S subunit intranasal liposomal formulation with GLA/3M052 adjs.,TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,
"Helix Biogen Consult, Ogbomoso & Trinity Immonoefficient Laboratory, Ogbomoso, Oyo State, Nigeria.",Protein Subunit,"S-Protein (Subunit) Adjuvant, E coli based Expression",TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,
"National Research Centre, Egypt",Protein Subunit,"Protein Subunit S,N,M&S1 protein",TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,
"University of San Martin and CONICET, Argentina",Protein Subunit,Protein Subunit,TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,
"Chulalongkorn University/GPO, Thailand",Protein Subunit,RBD protein fused with Fc of IgG + Adj.,TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,
AdaptVac (PREVENT-nCoV consortium),Protein Subunit,Capsid-like Particle,TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,
ExpreS2ion,Protein Subunit,Drosophila S2 insect cell expression system VLPs,TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,
IMV Inc,Protein Subunit,Peptide antigens formulated in LNP,TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,
WRAIR/USAMRIID,Protein Subunit,S protein,TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,
"National Institute of Infectious Disease, Japan/Shionogi/UMN Pharma",Protein Subunit,S protein +Adjuvant,TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,Influenza
"Osaka University/ BIKEN/ National Institutes of Biomedical Innovation, Japan",Protein Subunit,VLP-recombinant protein + Adjuvant,TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,
Univ. of Pittsburgh,Protein Subunit,microneedle arrays S1 subunit,TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,MERS
Vaxi Bio,Protein Subunit,Peptide,TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,
Biological E Ltd,Protein Subunit,Adjuvanted protein subunit (RBD),TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,
Flow Pharma Inc,Protein Subunit,Peptide,TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,"Ebola, Marburg, HIV, Zika, Influenza, HPV therapeutic vaccine, BreastCA vaccine"
AJ Vaccines,Protein Subunit,S protein,TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,
Generex/EpiVax,Protein Subunit,li-Key peptide,TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,"Influenza, HIV, SARS-CoV"
EpiVax/Univ. of Georgia,Protein Subunit,S protein,TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,H7N9
EpiVax,Protein Subunit,Protein Subunit EPV-CoV-19,TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,
Sanofi Pasteur/GSK,Protein Subunit,S protein (baculovirus production),TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,"Influenza, SARS-CoV"
Heat Biologics/Univ. Of Miami,Protein Subunit,gp-96 backbone,TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,"NSCLC, HIV, malaria, Zika"
"FBRI SRC VB VECTOR, Rospotrebnadzor, Koltsovo",Protein Subunit,Subunit vaccine,TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,
Baylor College of Medicine,Protein Subunit,S1 or RBD protein,TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,SARS
iBio/cc-Pharming,Protein Subunit,"Subunit protein, plant produced",TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,
Saint-Petersburg scientific research institute of vaccines and serums,Protein Subunit,"Recombinant protein, nanoparticles (based on s-protein and other epitopes)",TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,
Innovax/Xiamen Univ./GSK,Protein Subunit,COVID-19 XWG-03 truncated S (spike) proteins,TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,HPV
"VIDO-InterVac, University of Saskatchewan",Protein Subunit,Adjuvanted microsphere peptide,TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,
OncoGen,Protein Subunit,Synthetic Long Peptide Vaccine candidate for S and M proteins,TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,
MIGAL Galilee Research Institute,Protein Subunit,Oral E. coli-based protein expression system of S and N proteins,TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,
"LakePharma, Inc.",Protein Subunit,Nanoparticle vaccine,TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,
Baiya Phytopharm/ Chula Vaccine Research Center,Protein Subunit,Plant-based subunit (RBD-Fc + Adjuvant),TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,
Quadram Institute Biosciences,Protein Subunit,OMV-based vaccine,TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,"Flu A, plague"
BiOMVis Sri/Univ. of Trento,Protein Subunit,OMV-based vaccine,TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,
Lomonosov Moscow State University,Protein Subunit,structurally modified spherical particles of the tobacco mosaic virus (TMV),TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,"rubella, rotavirus"
University of Alberta,Protein Subunit,Spike-based,TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,Hepatitis C
AnyGo Technology,Protein Subunit,Recombinant S1-Fc fusion protein,TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,
Yisheng Biopharma,Protein Subunit,Recombinant protein,TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,
Vabiotech,Protein Subunit,Recombinant S protein in IC-BEVS,TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,
"Applied Biotechnology Institute, Inc.",Protein Subunit,"Orally delivered, heat stable subunit",TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,
Axon Neuroscience SE,Protein Subunit,Peptides derived from Spike protein,TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,
"MOGAM Institute for Biomedical Research, GC Pharma",Protein Subunit,Protein Subunit,TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,
Neovii/Tel Aviv University,Protein Subunit,RBD-based,TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,
Intravacc/Epivax,Protein Subunit,Outer Membrane Vesicle (OMV)-subunit,TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,
Intravacc/Epivax,Protein Subunit,Outer Membrane Vesicle(OMV)-peptide,TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,
ImmunoPrecise/LiteVax BV,Protein Subunit,Spike-based (epitope screening),TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,
Farmacologicos Veterinarios SAC (FARVET SAC) / Universidad Peruana Cayetano Heredia (UPCH),Replicating Bacteria Vector,Oral Salmonella enteritidis (3934Vac) based protein expression system of RBD,TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,
KU Leuven,Replicating Viral Vector,YF17D Vector,TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,
Cadila Healthcare Limited,Replicating Viral Vector,Measles Vector,TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,
"FBRI SRC VB VECTOR, Rospotrebnadzor, Koltsovo",Replicating Viral Vector,Measles Vector,TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,
DZIF German Center for Infection Research/CanVirex AG,Replicating Viral Vector,"Measles Virus (S, N targets)",TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,"Zika, H7N9, CHIKV"
Tonix Pharma/Southern Research,Replicating Viral Vector,Horsepox vector expressing S protein,TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,"Smallpox, monkeypox"
BiOCAD and IEM,Replicating Viral Vector,Live vira vectored vaccine based on attenuated influenza virus backbone (intranasal),TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,Influenza
"FBRI SRC VB VECTOR, Rospotrebnadzor, Koltsovo",Replicating Viral Vector,"Recombinant vaccine based on Influenza A virus, for the prevention of COVID-19 (intranasal)",TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,Influenza
Fundacao Oswaldo Cruz and Instituto Buntantan,Replicating Viral Vector,Attenuated Influenza expressing an antigenic portion of the Spike protein,TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,Influenza
University of Hong Kong,Replicating Viral Vector,Influenza vector expressing RBD,TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,
IAVI/Merck,Replicating Viral Vector,Replication-competent VSV chimeric virus technology (VSVAG) delivering the SARS-CoV- 2 Spike (S) glycoprotein.,TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,"Ebola, Marburg, Lassa"
University of Manitoba,Replicating Viral Vector,Replicating VSV vector-based DC-targeting,TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,
University of Western Ontario,Replicating Viral Vector,VSV-S,TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,"HIV, MERS"
Aurobindo,Replicating Viral Vector,VSV-S,TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,
"FBRI SRC VB VECTOR, Rospotrebnadzor, Koltsovo",Replicating Viral Vector,VSV vector,TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,
Israel Institute for Biological Research/Weizmann Institute of Science,Replicating Viral Vector,VSV-S,TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,
UW-Madison/FluGen/Bharat Biotech,Replicating Viral Vector,M2-deficient single replication (M2SR) influenza vector,TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,Influenza
acc/ Wageninger Bioveterinary Research/Utrecht Univ.,Replicating Viral Vector,Newcastle disease virus vector (NDV-SARS- CoV-2/Spike),TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,
"The Lancaster University, UK",Replicating Viral Vector,Avian paramyxovirus vector (APMV),TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,
Max-Planck-institute of Colloids and Interfaces,RNA,LNP-encapsulated mRNA encoding S,TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,
Gennova,RNA,Self-amplifying RNA,TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,
Selcuk University,RNA,mRNA,TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,
Translate Bio/Sanofi Pasteur,RNA,LNP-mRNA,TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,
CanSino Biologics/Precision NanoSystems,RNA,LNP-mRNA,TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,
Fudan University/ Shanghai JiaoTong University/RNACure Biopharma,RNA,LNP-encapsulated mRNA cocktail encoding VLP,TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,
Fudan University/ Shanghai JiaoTong University/RNACure Biopharma,RNA,LNP-encapsulated mRNA encoding RBD,TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,
"Centro Nacional Biotecnologia (CNB-CSIC), Spain",RNA,Replicating Defective SARS-CoV-2 derived RNAs,TBD,TBD,TBD,,,,,Pre-Clinical,Pre-Clinical,SARS-CoV2,
